net,length_um
_167_,5.6µm
net437,5.6µm
net398,5.58µm
_023_,5.56µm
_080_,5.56µm
acc_core.adder.cla_blocks\[1\].block.sum\[0\],5.53µm
_255_,5.48µm
acc_core.adder.cla_blocks\[5\].block.sum\[1\],5.46µm
net91,5.4µm
net392,5.38µm
_179_,5.34µm
net27,5.34µm
net255,5.34µm
_037_,5.33µm
wr_addr[3],5.29µm
wr_addr[4],5.29µm
net124,5.26µm
net141,5.26µm
net444,5.26µm
net266,5.24µm
net509,5.24µm
net139,5.16µm
net341,5.16µm
acc_out[1],5.07µm
acc_out[3],5.07µm
acc_out[5],5.07µm
net689,5.065µm
_174_,5.06µm
acc_core.adder.cla_blocks\[2\].block.sum\[1\],5µm
acc_core.adder.cla_blocks\[5\].block.sum\[0\],5µm
_014_,4.97µm
wr_addr[5],4.95µm
net367,4.92µm
net370,4.92µm
net411,4.92µm
net426,4.92µm
net215,4.9µm
net415,4.9µm
acc_core.adder.cla_blocks\[6\].block.sum\[0\],4.88µm
net484,4.88µm
net515,4.88µm
_020_,4.87µm
_185_,4.8µm
_220_,4.8µm
dout0_q\[7\],4.8µm
net296,4.8µm
net412,4.8µm
net335,4.76µm
net59,4.68µm
net450,4.68µm
net503,4.68µm
wr_addr[2],4.61µm
wr_addr[7],4.61µm
_113_,4.56µm
acc_core.adder.cla_blocks\[6\].block.sum\[3\],4.56µm
net580,4.56µm
_034_,4.54µm
_076_,4.54µm
_040_,4.53µm
net128,4.46µm
net233,4.46µm
dout0_q\[13\],4.42µm
net140,4.42µm
acc_out[0],4.39µm
net432,4.36µm
net613,4.36µm
_099_,4.34µm
net138,4.34µm
net305,4.34µm
net379,4.34µm
net416,4.34µm
net456,4.34µm
net489,4.34µm
net498,4.34µm
net517,4.34µm
net523,4.34µm
_243_,4.32µm
_097_,4.22µm
net143,4.22µm
_086_,4.14µm
_194_,4.14µm
acc_core.adder.cla_blocks\[0\].block.p\[0\],4.14µm
_046_,4.12µm
_128_,4.1µm
_013_,4.08µm
_024_,4.08µm
_077_,4.08µm
acc_core.adder.cla_blocks\[6\].block.sum\[2\],4.08µm
acc_core.adder.cla_blocks\[7\].block.sum\[3\],4.08µm
_049_,4.05µm
_263_,4µm
_264_,4µm
net136,4µm
net239,4µm
net352,4µm
net363,4µm
net407,4µm
net473,4µm
net477,4µm
net490,4µm
net493,4µm
_252_,3.98µm
_003_,3.91µm
net126,3.9µm
rd_addr\[7\],3.88µm
net175,3.88µm
net204,3.88µm
net244,3.88µm
net348,3.88µm
net402,3.88µm
net485,3.88µm
_075_,3.76µm
_043_,3.69µm
net691,3.68µm
_010_,3.66µm
_105_,3.64µm
_048_,3.61µm
_178_,3.56µm
net499,3.56µm
_150_,3.54µm
net150,3.54µm
net369,3.54µm
net419,3.54µm
net425,3.54µm
net442,3.54µm
net693,3.54µm
net92,3.44µm
net176,3.44µm
_118_,3.42µm
_212_,3.42µm
_229_,3.42µm
_253_,3.42µm
